Items,Apply.Vectors,Conceptual.Relationships,Algebra,Visualizations
Item1,1,1,0,0
Item2,0,1,0,0
Item3,1,1,0,0
Item4,1,1,0,0
Item5,1,1,0,0
Item6,1,1,0,0
Item7,1,1,0,0
Item8,1,1,0,0
Item9,1,1,0,0
Item10,1,1,0,0
Item11,1,1,0,0
Item12,1,1,0,0
Item13,1,1,0,0
Item14,0,1,0,1
Item15,0,1,0,1
Item16,0,1,0,1
Item17,0,1,0,1
Item18,0,1,0,1
Item19,0,1,0,1
Item20,1,1,0,1
Item21,1,1,0,1
Item22,0,1,0,1
Item23,0,1,0,1
Item24,0,1,0,1
Item25,0,1,0,1
Item26,0,1,0,1
Item27,1,1,0,0
Item28,1,1,0,0
Item29,1,1,0,0
Item30,1,1,0,0
Item31,0,1,0,0
Item32,0,1,0,0
Item33,0,1,0,0
Item34,0,1,0,0
Item35,0,1,0,0
Item36,0,1,0,0
Item37,0,1,0,0
Item38,0,1,0,0
Item39,0,1,0,0
Item40,0,1,0,1
Item41,1,1,0,1
Item42,0,1,0,1
Item43,0,1,0,1
Item44,0,1,0,1
Item45,0,1,0,1
Item46,0,1,0,0
Item47,0,1,0,0
